query,plan
Plan a 2-day trip from Chennai to Hyderabad for 2 person(s) with a budget of ₹39752 starting 2025-08-20.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 3-day trip from Lucknow to Mumbai for 3 person(s) with a budget of ₹28783 starting 2025-08-15.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah."
Plan a 2-day trip from Ahmedabad to Mumbai for 4 person(s) with a budget of ₹46324 starting 2025-08-26.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 2-day trip from Chennai to Mumbai for 3 person(s) with a budget of ₹49067 starting 2025-08-25.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India."
Plan a 5-day trip from Lucknow to Delhi for 2 person(s) with a budget of ₹36245 starting 2025-08-25.,"Stay at Vivanta by Taj - Ambassador (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort. Day 5: Visit National Gallery of Modern Art, National Science Centre."
Plan a 4-day trip from Chennai to Lucknow for 4 person(s) with a budget of ₹48536 starting 2025-08-13.,"Stay at EXCEL PARADISE INN. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4:"
Plan a 5-day trip from Jaipur to Hyderabad for 2 person(s) with a budget of ₹42673 starting 2025-08-20.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 2-day trip from Chennai to Pune for 4 person(s) with a budget of ₹31441 starting 2025-08-17.,Stay at Hotel Pavitra. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 5-day trip from Hyderabad to Pune for 3 person(s) with a budget of ₹27915 starting 2025-08-27.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 4-day trip from Hyderabad to Delhi for 1 person(s) with a budget of ₹27723 starting 2025-08-15.,"Stay at Vivanta by Taj - Ambassador (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 3-day trip from Delhi to Chennai for 1 person(s) with a budget of ₹44386 starting 2025-08-07.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 3-day trip from Chennai to Ahmedabad for 2 person(s) with a budget of ₹12874 starting 2025-08-21.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City."
Plan a 2-day trip from Delhi to Chennai for 1 person(s) with a budget of ₹14246 starting 2025-08-31.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 5-day trip from Delhi to Ahmedabad for 4 person(s) with a budget of ₹25225 starting 2025-08-19.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 2-day trip from Delhi to Chennai for 4 person(s) with a budget of ₹31931 starting 2025-08-03.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 5-day trip from Hyderabad to Pune for 1 person(s) with a budget of ₹30334 starting 2025-08-11.,Stay at Valencia Hospitality Service Apartment Magarpatta. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 2-day trip from Delhi to Pune for 1 person(s) with a budget of ₹33787 starting 2025-08-22.,Stay at FabHotel Sumati Baner. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 2-day trip from Lucknow to Jaipur for 1 person(s) with a budget of ₹40887 starting 2025-08-05.,"Stay at Tree of Life Resort &amp; Spa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal."
Plan a 2-day trip from Bengaluru to Jaipur for 3 person(s) with a budget of ₹46842 starting 2025-08-16.,"Stay at TALAI BAGH PALACE. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal."
Plan a 5-day trip from Jaipur to Hyderabad for 2 person(s) with a budget of ₹24140 starting 2025-08-17.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 4-day trip from Lucknow to Ahmedabad for 1 person(s) with a budget of ₹48263 starting 2025-08-29.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4:"
Plan a 4-day trip from Pune to Jaipur for 1 person(s) with a budget of ₹31147 starting 2025-08-23.,"Stay at Art Inn Homestay. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4:"
Plan a 5-day trip from Bengaluru to Mumbai for 2 person(s) with a budget of ₹19107 starting 2025-08-29.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Elephanta Caves."
Plan a 3-day trip from Chennai to Pune for 1 person(s) with a budget of ₹37662 starting 2025-08-17.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
Plan a 5-day trip from Ahmedabad to Hyderabad for 3 person(s) with a budget of ₹20749 starting 2025-08-12.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 5-day trip from Hyderabad to Ahmedabad for 1 person(s) with a budget of ₹49100 starting 2025-08-21.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 3-day trip from Bengaluru to Chennai for 2 person(s) with a budget of ₹44335 starting 2025-08-23.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 4-day trip from Jaipur to Lucknow for 1 person(s) with a budget of ₹41415 starting 2025-08-01.,"Stay at EXCEL PARADISE INN. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4:"
Plan a 3-day trip from Lucknow to Delhi for 1 person(s) with a budget of ₹30678 starting 2025-08-15.,"Stay at The Taj Mahal Hotel (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar."
Plan a 4-day trip from Kolkata to Pune for 2 person(s) with a budget of ₹16508 starting 2025-08-02.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 4-day trip from Kolkata to Pune for 2 person(s) with a budget of ₹12826 starting 2025-08-03.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 5-day trip from Hyderabad to Ahmedabad for 4 person(s) with a budget of ₹19755 starting 2025-08-29.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 5-day trip from Kolkata to Mumbai for 4 person(s) with a budget of ₹10316 starting 2025-08-09.,"Stay at Vivanta by Taj - President (A Taj Hotel). Day 1: Visit Siddhivinayak Temple, Mahalaxmi Temple. Day 2: Visit Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, Gateway of India. Day 3: Visit Marine Drive, Haji Ali Dargah. Day 4: Visit Sanjay Gandhi National Park, Chowpatty Beach. Day 5: Visit Elephanta Caves."
Plan a 2-day trip from Lucknow to Kolkata for 2 person(s) with a budget of ₹36130 starting 2025-08-28.,"Stay at Southern Plaza. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial."
Plan a 4-day trip from Pune to Hyderabad for 3 person(s) with a budget of ₹12403 starting 2025-08-25.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Charminar. Day 2: Visit Inorbit Mall Cyberabad, Golconda Fort. Day 3: Visit Qutb Shahi Tombs, Salar Jung Museum. Day 4: Visit Chowmahalla Palace, Hussain Sagar Lake."
Plan a 4-day trip from Kolkata to Delhi for 4 person(s) with a budget of ₹23500 starting 2025-08-05.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 5-day trip from Pune to Kolkata for 2 person(s) with a budget of ₹23419 starting 2025-08-30.,"Stay at Stay Cool. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple. Day 4: Visit Science City Kolkata, Marble Palace. Day 5: Visit Alipore Zoological Gardens."
Plan a 4-day trip from Mumbai to Chennai for 3 person(s) with a budget of ₹40777 starting 2025-08-05.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 2-day trip from Lucknow to Jaipur for 1 person(s) with a budget of ₹34956 starting 2025-08-02.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal."
Plan a 4-day trip from Bengaluru to Chennai for 3 person(s) with a budget of ₹11383 starting 2025-08-14.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 4-day trip from Lucknow to Chennai for 4 person(s) with a budget of ₹24967 starting 2025-08-12.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 2-day trip from Mumbai to Lucknow for 2 person(s) with a budget of ₹35827 starting 2025-08-22.,"Stay at URBAN SUITES LUCKNOW. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 2-day trip from Chennai to Jaipur for 3 person(s) with a budget of ₹45091 starting 2025-08-18.,"Stay at TALAI BAGH PALACE. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal."
Plan a 3-day trip from Kolkata to Lucknow for 1 person(s) with a budget of ₹27756 starting 2025-08-26.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3:"
Plan a 5-day trip from Mumbai to Hyderabad for 3 person(s) with a budget of ₹41759 starting 2025-08-16.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 2-day trip from Kolkata to Hyderabad for 1 person(s) with a budget of ₹30497 starting 2025-08-26.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs."
Plan a 5-day trip from Jaipur to Hyderabad for 3 person(s) with a budget of ₹44339 starting 2025-08-19.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace. Day 5: Visit Hussain Sagar Lake, Nehru Zoological Park."
Plan a 2-day trip from Delhi to Pune for 4 person(s) with a budget of ₹44300 starting 2025-08-13.,Stay at FabHotel Bhagyashree Magarpatta. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 3-day trip from Bengaluru to Lucknow for 1 person(s) with a budget of ₹46023 starting 2025-08-11.,"Stay at EXCEL PARADISE INN. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3:"
Plan a 2-day trip from Delhi to Ahmedabad for 2 person(s) with a budget of ₹33305 starting 2025-08-24.,"Stay at Hotel Raghu Chhaya. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 4-day trip from Hyderabad to Delhi for 2 person(s) with a budget of ₹23835 starting 2025-08-01.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 2-day trip from Hyderabad to Lucknow for 2 person(s) with a budget of ₹44698 starting 2025-08-30.,"Stay at URBAN SUITES LUCKNOW. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 2-day trip from Delhi to Pune for 1 person(s) with a budget of ₹19659 starting 2025-08-23.,Stay at EMA HOSPITALITY. Day 1: Visit Shaniwar Wada. Day 2:
Plan a 5-day trip from Mumbai to Ahmedabad for 2 person(s) with a budget of ₹32808 starting 2025-08-11.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 5-day trip from Mumbai to Pune for 1 person(s) with a budget of ₹39980 starting 2025-08-22.,Stay at Valencia Hospitality Service Apartment Magarpatta. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 2-day trip from Pune to Chennai for 3 person(s) with a budget of ₹39847 starting 2025-08-12.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 4-day trip from Lucknow to Kolkata for 3 person(s) with a budget of ₹30564 starting 2025-08-30.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple. Day 4: Visit Science City Kolkata, Marble Palace."
Plan a 2-day trip from Jaipur to Lucknow for 1 person(s) with a budget of ₹17302 starting 2025-08-13.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 2-day trip from Kolkata to Chennai for 3 person(s) with a budget of ₹16905 starting 2025-08-29.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 5-day trip from Bengaluru to Chennai for 4 person(s) with a budget of ₹41323 starting 2025-08-17.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Kolkata to Chennai for 4 person(s) with a budget of ₹23643 starting 2025-08-22.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 2-day trip from Hyderabad to Ahmedabad for 2 person(s) with a budget of ₹32847 starting 2025-08-25.,"Stay at Hotel Raghu Chhaya. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 5-day trip from Ahmedabad to Pune for 1 person(s) with a budget of ₹39765 starting 2025-08-13.,Stay at Valencia Hospitality Service Apartment Magarpatta. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Mumbai to Ahmedabad for 2 person(s) with a budget of ₹13694 starting 2025-08-09.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City."
Plan a 5-day trip from Lucknow to Ahmedabad for 1 person(s) with a budget of ₹20840 starting 2025-08-28.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4: Day 5:"
Plan a 3-day trip from Mumbai to Pune for 4 person(s) with a budget of ₹36302 starting 2025-08-31.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2: Day 3:
Plan a 4-day trip from Hyderabad to Ahmedabad for 4 person(s) with a budget of ₹30230 starting 2025-08-25.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk. Day 3: Visit Science City. Day 4:"
Plan a 3-day trip from Delhi to Jaipur for 1 person(s) with a budget of ₹30035 starting 2025-08-07.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace."
Plan a 3-day trip from Jaipur to Kolkata for 3 person(s) with a budget of ₹14225 starting 2025-08-02.,"Stay at Stay Cool. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple."
Plan a 2-day trip from Pune to Chennai for 3 person(s) with a budget of ₹43269 starting 2025-08-10.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 2-day trip from Delhi to Lucknow for 4 person(s) with a budget of ₹27361 starting 2025-08-07.,"Stay at EXCEL PARADISE INN. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2:"
Plan a 3-day trip from Bengaluru to Delhi for 4 person(s) with a budget of ₹29035 starting 2025-08-29.,"Stay at Vivanta by Taj - Ambassador (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar."
Plan a 2-day trip from Ahmedabad to Delhi for 2 person(s) with a budget of ₹29502 starting 2025-08-11.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb."
Plan a 3-day trip from Bengaluru to Chennai for 2 person(s) with a budget of ₹37217 starting 2025-08-04.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3:
Plan a 2-day trip from Ahmedabad to Kolkata for 2 person(s) with a budget of ₹21679 starting 2025-08-28.,"Stay at Banayan Appartment ,Russell Street. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial."
Plan a 3-day trip from Bengaluru to Kolkata for 1 person(s) with a budget of ₹13840 starting 2025-08-25.,"Stay at Stay Cool. Day 1: Visit Dakshineswar Kali Temple, Belur Math. Day 2: Visit Victoria Memorial, Indian Museum. Day 3: Visit Howrah Bridge, Kalighat Kali Temple."
Plan a 3-day trip from Ahmedabad to Jaipur for 1 person(s) with a budget of ₹28117 starting 2025-08-18.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace."
Plan a 3-day trip from Pune to Jaipur for 1 person(s) with a budget of ₹36656 starting 2025-08-11.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace."
Plan a 4-day trip from Delhi to Jaipur for 2 person(s) with a budget of ₹17676 starting 2025-08-17.,"Stay at Art Inn Homestay. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4:"
Plan a 5-day trip from Pune to Jaipur for 1 person(s) with a budget of ₹45174 starting 2025-08-22.,"Stay at Vidhya Villa. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4: Day 5:"
Plan a 4-day trip from Pune to Chennai for 4 person(s) with a budget of ₹17171 starting 2025-08-12.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 2-day trip from Delhi to Ahmedabad for 4 person(s) with a budget of ₹33847 starting 2025-08-03.,"Stay at Hotel Raghu Chhaya. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 3-day trip from Ahmedabad to Kolkata for 1 person(s) with a budget of ₹47666 starting 2025-08-22.,"Stay at Travel Inn. Day 1: Visit Belur Math, Dakshineswar Kali Temple. Day 2: Visit Howrah Bridge, Victoria Memorial. Day 3: Visit Indian Museum, Kalighat Kali Temple."
Plan a 4-day trip from Chennai to Delhi for 1 person(s) with a budget of ₹20146 starting 2025-08-12.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 2-day trip from Mumbai to Delhi for 2 person(s) with a budget of ₹47830 starting 2025-08-10.,"Stay at The Taj Mahal Hotel (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb."
Plan a 4-day trip from Jaipur to Pune for 2 person(s) with a budget of ₹22080 starting 2025-08-13.,Stay at Camp Chrysalid Kambre. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 5-day trip from Ahmedabad to Jaipur for 2 person(s) with a budget of ₹14076 starting 2025-08-20.,"Stay at Tulsian Guest House and Serviced Appartment. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4: Day 5:"
Plan a 5-day trip from Delhi to Lucknow for 4 person(s) with a budget of ₹42269 starting 2025-08-27.,"Stay at HOTEL SHELTER. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4: Day 5:"
Plan a 4-day trip from Chennai to Hyderabad for 2 person(s) with a budget of ₹46292 starting 2025-08-25.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum. Day 4: Visit Ramoji Film City, Chowmahalla Palace."
Plan a 4-day trip from Hyderabad to Chennai for 4 person(s) with a budget of ₹32226 starting 2025-08-06.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4:
Plan a 3-day trip from Mumbai to Hyderabad for 3 person(s) with a budget of ₹28905 starting 2025-08-24.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum."
Plan a 2-day trip from Jaipur to Chennai for 2 person(s) with a budget of ₹39345 starting 2025-08-12.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2:
Plan a 2-day trip from Chennai to Ahmedabad for 3 person(s) with a budget of ₹24021 starting 2025-08-22.,"Stay at Tulsi Residency. Day 1: Visit Sabarmati Ashram, Sabarmati Riverfront. Day 2: Visit Kankaria Lake, Manek Chowk."
Plan a 3-day trip from Pune to Delhi for 4 person(s) with a budget of ₹39324 starting 2025-08-17.,"Stay at HOTEL SIAM INTERNATIONAL. Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar."
Plan a 4-day trip from Jaipur to Delhi for 4 person(s) with a budget of ₹12503 starting 2025-08-23.,"Stay at The Taj Mahal Hotel (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar. Day 4: Visit Lodhi Garden, Red Fort."
Plan a 5-day trip from Lucknow to Chennai for 4 person(s) with a budget of ₹22800 starting 2025-08-19.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 4-day trip from Mumbai to Pune for 3 person(s) with a budget of ₹46168 starting 2025-08-23.,Stay at Sparrow  House Gandhrav Nagari. Day 1: Visit Shaniwar Wada. Day 2: Day 3: Day 4:
Plan a 4-day trip from Lucknow to Jaipur for 1 person(s) with a budget of ₹22330 starting 2025-08-23.,"Stay at Art Inn Homestay. Day 1: Visit Amber Fort, Albert Hall Museum. Day 2: Visit Jaigarh Fort, Hawa Mahal. Day 3: Visit City Palace. Day 4:"
Plan a 4-day trip from Jaipur to Lucknow for 4 person(s) with a budget of ₹45678 starting 2025-08-08.,"Stay at EXCEL PARADISE INN. Day 1: Visit Phoenix Palassio, Bara Imambara. Day 2: Day 3: Day 4:"
Plan a 5-day trip from Jaipur to Chennai for 4 person(s) with a budget of ₹27266 starting 2025-08-06.,Stay at Vivanta by Taj - Connemara (A Taj Hotel). Day 1: Visit Marina Beach. Day 2: Day 3: Day 4: Day 5:
Plan a 3-day trip from Ahmedabad to Delhi for 4 person(s) with a budget of ₹23414 starting 2025-08-03.,"Stay at Vivanta by Taj - Ambassador (A Taj Hotel). Day 1: Visit India Gate, Akshardham Temple. Day 2: Visit Sunder Nursery, Humayun's Tomb. Day 3: Visit Lotus Temple, Qutub Minar."
Plan a 3-day trip from Jaipur to Hyderabad for 3 person(s) with a budget of ₹26625 starting 2025-08-20.,"Stay at Vivanta by Taj - Begumpet (A Taj Hotel). Day 1: Visit Birla Mandir, Inorbit Mall Cyberabad. Day 2: Visit Charminar, Qutb Shahi Tombs. Day 3: Visit Golconda Fort, Salar Jung Museum."
